Date,State Name,county Name,State Code,County Code,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2019-10-10,California,Los Angeles,6,37,69,Moderate,PM10,06-037-9033,15
2019-10-11,California,Los Angeles,6,37,185,Unhealthy,PM2.5,06-037-1201,15
2019-10-12,California,Los Angeles,6,37,101,Unhealthy for Sensitive Groups,Ozone,06-037-1201,17
2019-10-13,California,Los Angeles,6,37,115,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-10-14,California,Los Angeles,6,37,87,Moderate,Ozone,06-037-6012,15
2019-10-15,California,Los Angeles,6,37,71,Moderate,NO2,06-037-6012,17
2019-10-16,California,Los Angeles,6,37,89,Moderate,NO2,06-037-4008,15
2019-10-17,California,Los Angeles,6,37,80,Moderate,PM10,06-037-9033,15
2019-10-18,California,Los Angeles,6,37,52,Moderate,PM2.5,06-037-0016,17
2019-10-19,California,Los Angeles,6,37,57,Moderate,PM2.5,06-037-4008,15
2019-10-20,California,Los Angeles,6,37,93,Moderate,Ozone,06-037-0016,15
2019-10-21,California,Los Angeles,6,37,71,Moderate,Ozone,06-037-2005,17
2019-10-22,California,Los Angeles,6,37,78,Moderate,NO2,06-037-4008,15
2019-10-23,California,Los Angeles,6,37,80,Moderate,Ozone,06-037-1201,15
2019-10-24,California,Los Angeles,6,37,96,Moderate,NO2,06-037-4008,16
2019-10-25,California,Los Angeles,6,37,87,Moderate,NO2,06-037-4008,15
2019-10-26,California,Los Angeles,6,37,80,Moderate,Ozone,06-037-6012,15
2019-10-27,California,Los Angeles,6,37,64,Moderate,PM10,06-037-9033,17
2019-10-28,California,Los Angeles,6,37,65,Moderate,PM2.5,06-037-4008,15
2019-10-29,California,Los Angeles,6,37,59,Moderate,PM2.5,06-037-4008,15
2019-10-30,California,Los Angeles,6,37,60,Moderate,PM10,06-037-4006,16
2019-10-31,California,Los Angeles,6,37,65,Moderate,NO2,06-037-4008,15
2019-11-01,California,Los Angeles,6,37,62,Moderate,NO2,06-037-4008,15
2019-11-02,California,Los Angeles,6,37,92,Moderate,PM2.5,06-037-4008,16
2019-11-03,California,Los Angeles,6,37,86,Moderate,PM2.5,06-037-4008,15
2019-11-04,California,Los Angeles,6,37,97,Moderate,NO2,06-037-4008,15
2019-11-05,California,Los Angeles,6,37,71,Moderate,Ozone,06-037-4008,16
2019-11-06,California,Los Angeles,6,37,81,Moderate,PM2.5,06-037-1103,15
2019-11-07,California,Los Angeles,6,37,121,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,15
2019-11-08,California,Los Angeles,6,37,82,Moderate,NO2,06-037-4008,17
2019-11-09,California,Los Angeles,6,37,66,Moderate,PM2.5,06-037-4008,15
2019-11-10,California,Los Angeles,6,37,73,Moderate,PM2.5,06-037-1103,15
2019-11-11,California,Los Angeles,6,37,93,Moderate,PM2.5,06-037-1201,17
2019-11-12,California,Los Angeles,6,37,92,Moderate,PM2.5,06-037-1302,15
