Date,AQI
2016-02-11,30.0
2016-02-12,32.8
2016-02-13,37.6
2016-02-14,32.0
2016-02-15,55.4
2016-02-16,40.8
2016-02-17,41.2
2016-02-18,29.2
2016-02-19,34.2
2016-02-20,41.4
2016-02-21,45.4
2016-02-22,33.0
2016-02-23,34.0
2016-02-24,34.0
2016-02-25,27.8
2016-02-26,28.6
2016-02-27,36.0
2016-02-28,52.2
2016-02-29,43.2
2016-03-01,33.0
2016-03-02,38.4
2016-03-03,27.0
2016-03-04,46.4
2016-03-05,32.0
2016-03-06,40.6
2016-03-07,62.2
2016-03-08,69.2
2016-03-09,73.0
2016-03-10,63.6
2016-03-11,24.6
2016-03-12,27.0
2016-03-13,34.4
2016-03-14,26.2
2016-03-15,33.0
2016-03-16,43.2
2016-03-17,29.6
2016-03-18,30.0
2016-03-19,26.0
2016-03-20,31.4
2016-03-21,33.6
2016-03-22,34.2
2016-03-23,55.6
2016-03-24,46.4
2016-03-25,46.4
2016-03-26,30.6
2016-03-27,30.0
2016-03-28,36.0
2016-03-29,35.2
2016-03-30,37.0
2016-03-31,45.8
2016-04-01,38.4
2016-04-02,29.4
2016-04-03,32.4
2016-04-04,35.6
2016-04-05,31.8
2016-04-06,37.0
2016-04-07,32.8
2016-04-08,29.8
2016-04-09,34.4
2016-04-10,32.4
2016-04-11,39.2
2016-04-12,36.4
2016-04-13,33.6
2016-04-14,34.6
2016-04-15,36.2
2016-04-16,39.8
2016-04-17,40.8
2016-04-18,59.4
2016-04-19,44.4
2016-04-20,39.8
2016-04-21,49.0
2016-04-22,68.4
2016-04-23,33.4
2016-04-24,39.4
2016-04-25,42.4
2016-04-26,38.6
2016-04-27,26.8
2016-04-28,34.6
2016-04-29,34.2
2016-04-30,38.8
2016-05-01,29.2
2016-05-02,35.4
2016-05-03,30.8
2016-05-04,20.6
2016-05-05,20.0
2016-05-06,21.4
2016-05-07,21.2
2016-05-08,29.4
2016-05-09,43.4
2016-05-10,26.8
2016-05-11,45.6
2016-05-12,69.0
2016-05-13,53.4
2016-05-14,39.6
2016-05-15,23.2
2016-05-16,32.8
2016-05-17,32.4
