Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
County,2019-04-02,6.0,CA,6037.0,Los Angeles County,2034778.0,8039852.0,39165933.0,10574601.0,9718813.0,4701441.0,6190247.0,5715270.0,1628604.0,398579.0,166284.0,38593.0,33501.0,06-06037-20190402
County,2019-04-03,6.0,CA,6037.0,Los Angeles County,2063715.0,8010915.0,40395608.0,10727790.0,10206666.0,4886827.0,6430689.0,5960267.0,1600021.0,368004.0,152419.0,32337.0,30588.0,06-06037-20190403
County,2019-04-04,6.0,CA,6037.0,Los Angeles County,2060718.0,8013912.0,41865312.0,11008196.0,10470257.0,5104605.0,6836632.0,6177446.0,1651937.0,382583.0,163910.0,36539.0,33207.0,06-06037-20190404
County,2019-04-05,6.0,CA,6037.0,Los Angeles County,2030344.0,8044286.0,43046884.0,11434968.0,10787085.0,5235651.0,6970413.0,6264462.0,1677358.0,409036.0,193699.0,41136.0,33076.0,06-06037-20190405
County,2019-04-06,6.0,CA,6037.0,Los Angeles County,2116892.0,7957738.0,41561252.0,10889762.0,10503167.0,5036103.0,6588647.0,6004649.0,1744767.0,511957.0,214402.0,39487.0,28311.0,06-06037-20190406
County,2019-04-07,6.0,CA,6037.0,Los Angeles County,2144410.0,7930220.0,39535011.0,10551878.0,9873269.0,4753772.0,6343209.0,5532321.0,1652309.0,511650.0,240066.0,45549.0,30988.0,06-06037-20190407
County,2019-04-08,6.0,CA,6037.0,Los Angeles County,2069248.0,8005382.0,40014343.0,10723857.0,9802000.0,4791235.0,6432392.0,5926858.0,1639932.0,418311.0,191067.0,48840.0,39851.0,06-06037-20190408
County,2019-04-09,6.0,CA,6037.0,Los Angeles County,2028598.0,8046032.0,39574775.0,10434923.0,9732411.0,4775753.0,6480740.0,5913040.0,1600148.0,378585.0,178357.0,42245.0,38573.0,06-06037-20190409
County,2019-04-10,6.0,CA,6037.0,Los Angeles County,2064364.0,8010266.0,41920923.0,11237951.0,10471155.0,5056782.0,6804915.0,6171234.0,1607233.0,360935.0,145225.0,32187.0,33306.0,06-06037-20190410
County,2019-04-11,6.0,CA,6037.0,Los Angeles County,2075301.0,7999329.0,41147541.0,10653354.0,10154787.0,5030148.0,6831119.0,6207815.0,1630191.0,387276.0,176031.0,35321.0,41499.0,06-06037-20190411
County,2019-04-12,6.0,CA,6037.0,Los Angeles County,1983404.0,8091226.0,40748997.0,10545276.0,10080670.0,4995437.0,6791787.0,6040692.0,1602356.0,403368.0,205885.0,41506.0,42020.0,06-06037-20190412
County,2019-04-13,6.0,CA,6037.0,Los Angeles County,2113643.0,7960987.0,41440953.0,10864184.0,10213638.0,4993164.0,6672583.0,6102338.0,1774305.0,509317.0,233478.0,39707.0,38239.0,06-06037-20190413
County,2019-04-14,6.0,CA,6037.0,Los Angeles County,2178000.0,7896630.0,38320022.0,10155992.0,9315263.0,4581157.0,6221730.0,5510757.0,1656784.0,529747.0,253093.0,50412.0,45087.0,06-06037-20190414
County,2019-04-15,6.0,CA,6037.0,Los Angeles County,2062247.0,8012383.0,38170230.0,10036123.0,9090997.0,4465365.0,6303427.0,5886160.0,1625379.0,423824.0,234959.0,51375.0,52621.0,06-06037-20190415
County,2019-04-16,6.0,CA,6037.0,Los Angeles County,2059714.0,8014916.0,37235226.0,9778428.0,8913056.0,4420232.0,6155591.0,5715827.0,1582423.0,387815.0,182159.0,45335.0,54360.0,06-06037-20190416
County,2019-04-17,6.0,CA,6037.0,Los Angeles County,2062447.0,8012183.0,39332507.0,10173033.0,9520281.0,4768108.0,6528909.0,6095985.0,1615689.0,381728.0,164128.0,38309.0,46337.0,06-06037-20190417
County,2019-04-18,6.0,CA,6037.0,Los Angeles County,2049878.0,8024752.0,40874038.0,10775243.0,9930359.0,4900360.0,6740851.0,6194440.0,1682925.0,394355.0,172272.0,37793.0,45440.0,06-06037-20190418
County,2019-04-19,6.0,CA,6037.0,Los Angeles County,2000619.0,8074011.0,41660928.0,10752699.0,10135505.0,5083486.0,6892712.0,6366872.0,1711132.0,431905.0,203637.0,40779.0,42201.0,06-06037-20190419
County,2019-04-20,6.0,CA,6037.0,Los Angeles County,2168764.0,7905866.0,40467312.0,10691581.0,9888898.0,4846936.0,6461963.0,5947830.0,1755461.0,547922.0,241602.0,42921.0,42198.0,06-06037-20190420
County,2019-04-21,6.0,CA,6037.0,Los Angeles County,2265582.0,7809048.0,37255055.0,10049896.0,9052239.0,4422211.0,5994339.0,5218882.0,1618866.0,540836.0,255780.0,55274.0,46732.0,06-06037-20190421
County,2019-04-22,6.0,CA,6037.0,Los Angeles County,2067823.0,8006807.0,40511089.0,10934448.0,10148325.0,4833900.0,6225234.0,5913207.0,1759157.0,441808.0,181104.0,39942.0,33964.0,06-06037-20190422
County,2019-04-23,6.0,CA,6037.0,Los Angeles County,2023447.0,8051183.0,40601429.0,10757697.0,10501994.0,4869086.0,6188597.0,5972917.0,1729692.0,399150.0,118336.0,32402.0,31558.0,06-06037-20190423
County,2019-04-24,6.0,CA,6037.0,Los Angeles County,2026863.0,8047767.0,42976821.0,11438397.0,11117619.0,5138041.0,6617677.0,6321252.0,1788843.0,389465.0,107938.0,29284.0,28305.0,06-06037-20190424
County,2019-04-25,6.0,CA,6037.0,Los Angeles County,1985727.0,8088903.0,43809838.0,11436733.0,11513795.0,5325900.0,6762775.0,6426917.0,1782975.0,383904.0,121402.0,29500.0,25937.0,06-06037-20190425
